X,Filing_Date,Trade_Date,Ticker,Insider_Name,Title,Trade_Type,Price,Qty,Owned,Change_Owned,Value,1d,1w,1m,6m
M,2024-12-04 21:50:43,2024-12-02,RKLB,Slusky Alexander R,Dir,S - Sale,$23.64,-100000,654564,-13%,"-$2,364,310",,,,
,2024-11-27 17:28:25,2024-11-26,RKLB,Saintil Merline,Dir,S - Sale,$25.55,-50000,432275,-10%,"-$1,277,475",,,,
,2024-11-27 16:50:45,2024-11-25,RKLB,Spice Adam C.,CFO,S - Sale,$24.15,-62511,1259522,-5%,"-$1,509,366",,,,
,2024-11-27 16:49:59,2024-11-25,RKLB,Klein Frank,Chief Operations Officer,S - Sale,$24.15,-35968,1464032,-2%,"-$868,469",,,,
,2024-11-27 16:46:35,2024-11-25,RKLB,Kampani Arjun,GC,S - Sale,$24.15,-28562,608996,-4%,"-$689,647",,,,
,2024-11-21 16:58:04,2024-11-19,RKLB,Olson Jon A,Dir,S - Sale,$20.69,-50000,432275,-10%,"-$1,034,315",,,,
M,2024-11-18 19:29:08,2024-11-14,RKLB,Ocko Matthew,Dir,S - Sale,$18.03,-5366193,3388249,-61%,"-$96,765,249",,,,
,2024-08-26 20:08:40,2024-08-22,RKLB,Griffin Michael D,Dir,S - Sale,$6.90,-39446,42353,-48%,"-$272,177",,,,
,2024-08-26 19:52:58,2024-08-22,RKLB,Kampani Arjun,GC,S - Sale,$6.96,-28563,637558,-4%,"-$198,798",,,,
,2024-08-26 20:03:04,2024-08-22,RKLB,Spice Adam C.,CFO,S - Sale,$6.96,-62512,1321165,-5%,"-$435,084",,,,
,2024-05-28 18:34:02,2024-05-24,RKLB,Kampani Arjun,GC,S - Sale,$4.22,-29026,666121,-4%,"-$122,403",,,,
,2024-05-28 18:30:52,2024-05-24,RKLB,Spice Adam C.,CFO,S - Sale,$4.22,-63529,1383677,-4%,"-$267,902",,,,
,2024-03-07 19:52:07,2024-03-05,RKLB,Kampani Arjun,GC,S - Sale,$4.25,-31394,695147,-4%,"-$133,519",,,,
,2024-03-07 19:50:24,2024-03-05,RKLB,Spice Adam C.,CFO,S - Sale,$4.25,-67160,1442206,-4%,"-$285,631",,,,
,2023-11-30 19:49:03,2023-11-29,RKLB,Spice Adam C.,CFO,S - Sale,$4.46,-57721,1509366,-4%,"-$257,609",,,,
,2023-11-30 19:47:38,2023-11-29,RKLB,Kampani Arjun,GC,S - Sale,$4.46,-19443,505947,-4%,"-$86,774",,,,
,2023-09-13 16:05:09,2023-09-11,RKLB,Beck Peter,"Pres, CEO, COB, 10%",S - Sale,$5.62,-3600000,50951250,-7%,"-$20,232,000",,,,
,2023-08-31 16:01:45,2023-08-30,RKLB,Griffin Michael D,Dir,S - Sale,$6.34,-38090,39446,-49%,"-$241,612",,,,
,2023-08-29 17:40:01,2023-08-25,RKLB,Spice Adam C.,CFO,S - Sale,$5.74,-61377,1566293,-4%,"-$352,525",,,,
,2023-08-29 17:37:22,2023-08-25,RKLB,Kampani Arjun,See Remarks,S - Sale,$5.74,-20675,525390,-4%,"-$118,749",,,,
,2023-06-08 17:01:52,2023-06-06,RKLB,Griffin Michael D,Dir,S - Sale,$5.00,-50689,38090,-57%,"-$253,445",,,,
,2023-05-31 18:57:20,2023-05-26,RKLB,Spice Adam C.,CFO,S - Sale,$4.50,-66582,1619586,-4%,"-$299,353",,,,
,2023-05-31 18:53:49,2023-05-26,RKLB,Kampani Arjun,See Remarks,S - Sale,$4.50,-22428,546065,-4%,"-$100,836",,,,
,2023-05-19 18:44:33,2023-05-17,RKLB,Griffin Michael D,Dir,S - Sale,$4.40,-50689,88779,-36%,"-$223,032",,,,
,2023-03-13 21:51:36,2023-03-09,RKLB,Kampani Arjun,See Remarks,S - Sale,$4.23,-22532,568493,-4%,"-$95,400",,,,
,2023-03-13 21:35:29,2023-03-09,RKLB,Spice Adam C.,CFO,S - Sale,$4.23,-64189,1686168,-4%,"-$271,776",,,,
,2022-12-13 18:01:20,2022-12-12,RKLB,Griffin Michael D,Dir,S - Sale,$4.12,-50688,0,-100%,"-$208,835",,,,
,2022-11-29 16:57:22,2022-11-25,RKLB,Kampani Arjun,See Remarks,S - Sale,$4.22,-13810,591025,-2%,"-$58,278",,,,
,2022-11-29 16:56:00,2022-11-25,RKLB,Spice Adam C.,CFO,S - Sale,$4.22,-45659,1750357,-3%,"-$192,681",,,,
,2022-09-15 19:09:02,2022-09-13,RKLB,O'Donnell Shaun,EVP - Global Operations,S - Sale,$5.63,-200000,705485,-22%,"-$1,126,000",,,,
A,2022-11-29 16:58:06,2022-09-09,RKLB,Griffin Michael D,Dir,S - Sale,$5.62,-456190,190156,-71%,"-$2,563,788",,,,
,2022-09-13 17:20:00,2022-09-09,RKLB,Griffin Michael D,Dir,S - Sale,$5.62,-456190,190156,-71%,"-$2,563,788",,,,
,2022-08-26 18:17:21,2022-08-24,RKLB,Kampani Arjun,See Remarks,S - Sale,$5.25,-14121,604835,-2%,"-$74,135",,,,
,2022-08-26 18:19:29,2022-08-24,RKLB,Spice Adam C.,CFO,S - Sale,$5.25,-41508,1796016,-2%,"-$217,917",,,,
